index,true_label,pred_label,ai_probability,confidence,prediction_str,reasoning,top_indicators,parse_error,error_msg
0,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, lack of stylistic variance, and generic academic tone characteristic of large language models, further evidenced by the inclusion of a placeholder citation.","Highly formulaic and repetitive structural patterns across sections | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence length distribution | Presence of 'hallucinated' or placeholder-style citations (e.g., 'A. N. N. N.') | Predictable, template-driven transition phrases between paragraphs",False,
1,1,1,0.95,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform tone, and lack of personal research narrative typical of LLM-generated academic content, despite the inclusion of plausible-sounding technical jargon.","Highly formulaic and predictable structural progression | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence rhythm throughout all sections | Absence of genuine hedging or nuanced discussion of research failures",False,
2,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a genuine academic paper, including specific experimental constraints, detailed hardware-software integration, and idiosyncratic formatting errors typical of human-authored drafts rather than the polished, generic output of an AI.","Presence of specific, idiosyncratic formatting artifacts (e.g., missing spaces in the provided text) | Detailed, domain-specific methodology involving physical hardware and experimental setups | Inclusion of specific, non-generic references to previous literature and specific experimental parameters | Natural, non-formulaic progression of research narrative and technical reporting",False,
3,0,0,0.05,0.95,human,"The text exhibits clear markers of a human-authored academic paper, including specific formatting inconsistencies, authentic author metadata, and dense, domain-specific mathematical derivations that are characteristic of specialized research in BCI and signal processing.","Presence of specific formatting artifacts and OCR-like errors (e.g., '3v72230.1051:viXra', 'Universite´ de Versailles') | Inclusion of detailed, idiosyncratic author affiliations and contact information | Complex, domain-specific mathematical notation and derivations that reflect authentic academic research | Natural, non-formulaic structure typical of a technical conference or journal submission",False,
4,1,1,0.98,0.98,ai_generated,"The excerpt exhibits the hallmark structural rigidity, lack of stylistic variation, and generic academic tone characteristic of large language models, further confirmed by the inclusion of 'Fictional Author' placeholders in the bibliography.","Highly formulaic and repetitive structural patterns | Generic, overly polished academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and pacing throughout the text | Presence of hallucinated or placeholder-style citations (e.g., 'Fictional Author' in references) | Perfectly balanced, predictable paragraph transitions",False,
5,0,0,0.05,0.95,human,"The text exhibits the hallmarks of a genuine academic research paper, including specific technical methodology, references to domain-specific datasets, and detailed experimental setup that reflects human-led research processes.","Presence of specific, idiosyncratic academic citations and historical context (e.g., WMT16, MS COCO, specific toolkits like cdec) | Detailed methodological descriptions including specific hyperparameter tuning and fallback strategies for edge cases | Natural stylistic variation and structural complexity characteristic of formal academic writing in computational linguistics",False,
6,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark structural rigidity, uniform sentence rhythm, and generic academic tone characteristic of large language models, lacking the stylistic variance and specific, messy details typical of human-authored research.","Formulaic and highly predictable structural progression | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and tone across all sections | Use of 'hallucinated' or generic citations that follow a standard LLM pattern | Lack of genuine, nuanced personal research insights or specific experimental failures",False,
7,0,0,0.02,0.98,human,"The text exhibits clear markers of human authorship, including a highly specific longitudinal revision history, idiosyncratic commentary on the evolution of the field, and a unique, non-generic authorial voice that is characteristic of specialized academic research.","Presence of highly specific, idiosyncratic academic history and revision logs | Complex, non-formulaic document structure including institutional metadata and internal review references | Distinctive, personal authorial voice expressing specific philosophical stances on AI and logic | Use of domain-specific, niche terminology and references to personal prior work",False,
8,1,1,0.98,0.98,ai_generated,"The excerpt exhibits the hallmark structural rigidity, uniform tone, and synthetic precision characteristic of large language models, lacking the stylistic irregularities and personal research narrative typical of human-authored academic work.","Highly formulaic and repetitive structural patterns across sections | Overly polished, generic academic prose lacking idiosyncratic researcher voice | Suspiciously consistent readability and lack of natural stylistic variation | Perfectly formatted, textbook-style LaTeX citations and pseudo-code blocks | Absence of genuine hedging or nuanced discussion of research failures",False,
9,1,1,0.98,0.95,ai_generated,"The text exhibits the hallmark 'perfect' structure, predictable cadence, and lack of stylistic variance characteristic of large language models, despite the inclusion of plausible-sounding technical jargon.","Highly formulaic and repetitive structural transitions | Uniformly polished, generic academic tone lacking idiosyncratic researcher voice | Suspiciously consistent readability and sentence length distribution | Perfectly formatted, textbook-style LaTeX notation and algorithmic presentation",False,
