id,filename,label,provider,domain,topic,word_count,timestamp
1,fake_paper_001.txt,AI,gemini,Time Series Analysis / Forecasting,Probabilistic Transformer Forecasting with Conformal Prediction Intervals,1234,2026-03-20T20:20:36.890195
2,fake_paper_002.txt,AI,gemini,Computer Vision / Few-Shot Learning,Prototype Calibration Networks for Few-Shot Image Classification,1199,2026-03-20T20:20:53.173541
3,fake_paper_003.txt,AI,gemini,Generative Models / GANs,Conditional Wasserstein GANs for Tabular Data Augmentation,1334,2026-03-20T20:21:11.037570
4,fake_paper_004.txt,AI,gemini,Natural Language Processing / Low-Resource NLP,Cross-Lingual Transfer Learning for Low-Resource Named Entity Recognition,1481,2026-03-20T20:21:32.505780
1,fake_paper_001.txt,AI,gemini,Time Series Analysis / Forecasting,Probabilistic Transformer Forecasting with Conformal Prediction Intervals,2131,2026-03-20T20:41:29.820394
2,fake_paper_002.txt,AI,gemini,Computer Vision / Few-Shot Learning,Prototype Calibration Networks for Few-Shot Image Classification,1841,2026-03-20T20:41:51.505278
3,fake_paper_003.txt,AI,gemini,Generative Models / GANs,Conditional Wasserstein GANs for Tabular Data Augmentation,2362,2026-03-20T20:42:17.685368
4,fake_paper_004.txt,AI,gemini,Natural Language Processing / Low-Resource NLP,Cross-Lingual Transfer Learning for Low-Resource Named Entity Recognition,2157,2026-03-20T20:42:44.157223
5,fake_paper_005.txt,AI,gemini,Graph Neural Networks / Natural Language Processing,Heterogeneous Graph Transformers for Biomedical Relation Extraction,2108,2026-03-20T20:43:09.283843
6,fake_paper_006.txt,AI,gemini,Causal Inference / Machine Learning,Causal Representation Learning for Out-of-Distribution Generalization,2721,2026-03-20T20:43:38.636208
7,fake_paper_007.txt,AI,gemini,Tabular Machine Learning,TabNet Revisited: Gated Feature Selection with Self-Supervised Pretraining,2100,2026-03-20T20:44:04.821969
8,fake_paper_008.txt,AI,gemini,Natural Language Processing / Efficient Transformers,Sparse Mixture-of-Experts Attention for Long-Document Summarization,1968,2026-03-20T20:44:28.353047
9,fake_paper_009.txt,AI,gemini,Commonsense Reasoning,Neurosymbolic Integration for Commonsense Inference in Open-Domain QA,2029,2026-03-20T20:44:53.625777
10,fake_paper_010.txt,AI,gemini,Fairness in Machine Learning,Mitigating Demographic Bias in Large Language Models via Contrastive Fine-Tuning,2456,2026-03-20T20:45:19.388085
11,fake_paper_011.txt,AI,gemini,Computer Vision / Remote Sensing,Self-Supervised Change Detection in Multitemporal Satellite Imagery,2339,2026-03-20T20:45:44.178009
12,fake_paper_012.txt,AI,gemini,Computer Vision / Object Detection,Anchor-Free Object Detection with Deformable Convolutional Feature Pyramids,2136,2026-03-20T20:46:08.999466
13,fake_paper_013.txt,AI,gemini,Reinforcement Learning / Robotics,Hierarchical Reinforcement Learning for Multi-Step Manipulation Tasks,2252,2026-03-20T20:46:31.224435
14,fake_paper_014.txt,AI,gemini,Graph Neural Networks / Anomaly Detection,Graph Neural Networks for Supply Chain Anomaly Detection,1709,2026-03-20T20:46:50.055567
15,fake_paper_015.txt,AI,gemini,Multimodal Learning / Vision-Language,Grounded Visual Question Answering with Scene Graph Supervision,2653,2026-03-20T20:47:18.123605
16,fake_paper_016.txt,AI,gemini,Continual Learning,Elastic Weight Consolidation with Dynamic Memory Replay for Continual Learning,2356,2026-03-20T20:47:43.975484
17,fake_paper_017.txt,AI,gemini,Natural Language Processing / Transformers,Improving Transformer Efficiency Using Dynamic Token Pruning,1469,2026-03-20T20:48:01.403438
18,fake_paper_018.txt,AI,gemini,Time Series Analysis / Anomaly Detection,Temporal Convolutional Networks with Attention for Multivariate Anomaly Detection,2512,2026-03-20T20:48:31.288548
19,fake_paper_019.txt,AI,gemini,Optimization / Deep Learning,Adaptive Gradient Clipping for Training Stability in Large-Scale Neural Networks,2658,2026-03-20T20:49:20.826178
20,fake_paper_020.txt,AI,gemini,Federated Learning / Medical Image Analysis,Federated Learning for Privacy-Preserving Medical Image Segmentation,1900,2026-03-20T20:49:42.604674
21,fake_paper_021.txt,AI,gemini,Distribution Shift,Test-Time Adaptation via Self-Supervised Auxiliary Tasks under Covariate Shift,2354,2026-03-20T20:50:05.806922
22,fake_paper_022.txt,AI,gemini,Generative Models / Diffusion,Latent Diffusion Models for High-Fidelity Medical Image Synthesis,1795,2026-03-20T20:50:25.030550
23,fake_paper_023.txt,AI,gemini,NLP / Dialogue Systems,Persona-Consistent Response Generation with Memory-Augmented Transformers,1539,2026-03-20T20:50:43.279032
24,fake_paper_024.txt,AI,gemini,Mixture of Experts,Sparse Gating Mechanisms for Conditional Computation in Vision Transformers,2583,2026-03-20T20:51:10.338734
