,importance
pos_PRON,0.13405872181390316
function_word_ratio,0.1215682274456026
pos_ADV,0.11863671514384368
word_len_mean,0.10162784360982234
flesch_ease,0.08283170854879637
passive_voice_rate,0.07889695051636919
pos_CCONJ,0.05878399592796526
pos_DET,0.04727897920350229
pos_ADP,0.042544230970171966
mtld,0.042515160130611934
pos_NUM,0.029272451819386303
pos_VERB,0.02924863421102462
pos_ADJ,0.0288835197114651
bigram_repetition_rate,0.026509413061150153
pos_PUNCT,0.023132565469262924
sent_len_mean,0.01909137757374951
trigram_repetition_rate,0.006632623630769304
pos_SCONJ,0.006592326382784748
pos_NOUN,0.0018945548298185198
